id|id
921|377
921|935
377|921
377|935
377|424
619|588
619|983
967|983
967|217
967|881
588|619
588|242
992|242
992|706
706|992
706|987
706|610
610|706
610|138
610|458
983|619
983|967
881|967
987|706
987|786
987|565
987|242
786|987
424|377
424|935
424|962
935|424
935|921
935|377
935|705
217|967
242|588
242|992
242|987
565|987
565|974
454|645
454|214
645|454
645|799
962|424
962|799
705|935
705|950
705|120
138|610
138|458
138|974
799|645
799|962
799|113
950|705
950|120
120|705
120|950
120|169
974|565
974|138
974|458
214|454
214|113
214|169
113|214
113|799
113|169
169|214
169|113
169|120
458|974
458|138
458|610
705|217
705|881
705|786
217|705
881|705
786|705
962|214
214|962
214|799
799|214
799|705
705|799
881|242
242|881
881|983
983|881
377|983
983|377

























